name,issue,killed,injured,all
Arkansas,5,4,16,20
Illinois,36,22,153,175
Tennessee,17,19,64,83
Pennsylvania,17,31,59,90
Washington,3,4,9,13
Florida,26,42,113,155
Georgia,8,3,33,36
Texas,15,28,59,87
California,27,34,102,136
Nevada,3,3,11,14
Missouri,10,6,38,44
South Carolina,4,5,19,24
Alabama,13,10,53,63
Oklahoma,5,2,19,21
New Mexico,1,1,3,4
District of Columbia,6,2,23,25
New York,11,5,43,48
Maryland,7,13,22,35
Wisconsin,3,1,12,13
Louisiana,10,9,44,53
Minnesota,2,1,9,10
Ohio,9,9,41,50
New Jersey,9,3,51,54
Colorado,6,7,20,27
Virginia,4,2,17,19
Michigan,7,9,25,34
Arizona,1,1,4,5
Delaware,1,5,0,5
Indiana,6,5,23,28
Connecticut,2,0,8,8
North Carolina,9,10,33,43
Kansas,2,1,11,12
Massachusetts,1,0,4,4
Nebraska,3,1,16,17
Mississippi,3,1,17,18
Utah,1,0,4,4
Kentucky,4,7,25,32
